TRTGRP,AnimalID,Day0,Final
NC,NC1,267,269
NC,NC2,287,290
NC,NC3,312,315
NC,NC4,310,313
NC,NC5,282,285
NC,NC6,265,266
DC,DC1,322,278
DC,DC2,359,305
DC,DC3,327,268
DC,DC4,320,276
DC,DC5,354,300
DC,DC6,325,266
STD,STD1,291,268
STD,STD2,295,245
STD,STD3,306,264
STD,STD4,304,262
STD,STD5,294,244
STD,STD6,290,267
HECLD,HLD1,311,264
HECLD,HLD2,270,252
HECLD,HLD3,272,248
HECLD,HLD4,310,263
HECLD,HLD5,269,251
HECLD,HLD6,309,262
HECHD,HHD1,321,278
HECHD,HHD2,299,262
HECHD,HHD3,339,285
HECHD,HHD4,335,281
HECHD,HHD5,294,257
HECHD,HHD6,311,268
STDHECLD,SHLD1,330,285
STDHECLD,SHLD2,300,272
STDHECLD,SHLD3,280,254
STDHECLD,SHLD4,270,244
STDHECLD,SHLD5,305,277
STDHECLD,SHLD6,305,275
STDHECHD,SHHD1,314,285
STDHECHD,SHHD2,342,322
STDHECHD,SHHD3,320,305
STDHECHD,SHHD4,310,281
STDHECHD,SHHD5,340,320
STDHECHD,SHHD6,310,295
